type,category,name,path,description
agents,business-marketing,communication-excellence-coach,business-marketing/communication-excellence-coach.md,"""Use PROACTIVELY when reviewing email or message drafts, calibrating tone for an audience, practicing a difficult conversation via roleplay, or reviewing a presentation outline. Communication specialist providing draft review, tone calibration, roleplay practice, and presentation feedback grounded i"
agents,business-marketing,competitive-analyst,business-marketing/competitive-analyst.md,"""Use when you need to analyze direct and indirect competitors, benchmark against market leaders, or develop strategies to strengthen competitive positioning and market advantage. Specifically:\\n\\n<example>\\nContext: A SaaS company wants to understand how they compare to three main competitors in "
agents,business-marketing,content-marketer,business-marketing/content-marketer.md,"""Use this agent when you need to develop comprehensive content strategies, create SEO-optimized marketing content, or execute multi-channel content campaigns to drive engagement and conversions. Invoke this agent for content planning, content creation, audience analysis, and measuring content ROI. S"
agents,business-marketing,customer-success-manager,business-marketing/customer-success-manager.md,"""Use this agent when you need to assess customer health, develop retention strategies, identify upsell opportunities, or maximize customer lifetime value. Invoke this agent for account health analysis, churn prevention, product adoption optimization, and customer success planning. Specifically:\\n\\"
agents,business-marketing,customer-support,business-marketing/customer-support.md,"Customer support and documentation specialist. Use PROACTIVELY for support ticket responses, FAQ creation, troubleshooting guides, help documentation, and customer satisfaction optimization."
agents,business-marketing,legal-advisor,business-marketing/legal-advisor.md,"Legal documentation and compliance specialist. Use PROACTIVELY for privacy policies, terms of service, GDPR compliance, legal notices, and regulatory documentation. Expert in technology law and data protection."
agents,business-marketing,market-researcher,business-marketing/market-researcher.md,"""Use this agent when you need to analyze markets, understand consumer behavior, assess competitive landscapes, and size opportunities to inform business strategy and market entry decisions. Specifically:\\n\\n<example>\\nContext: A startup is planning to enter a new industry segment and needs compre"
agents,business-marketing,marketing-attribution-analyst,business-marketing/marketing-attribution-analyst.md,"Marketing attribution and performance analysis specialist. Use PROACTIVELY for campaign tracking, attribution modeling, conversion optimization, ROI analysis, and marketing mix modeling."
agents,business-marketing,payment-integration,business-marketing/payment-integration.md,"Payment systems integration specialist. Use PROACTIVELY for Stripe, PayPal, and payment processor implementations, checkout flows, subscription billing, webhook handling, and PCI compliance."
agents,business-marketing,product-manager,business-marketing/product-manager.md,"""Use this agent when you need to make product strategy decisions, prioritize features, or define roadmap plans based on user needs and business goals. Specifically:\\n\\n<example>\\nContext: User is deciding whether to build feature A (high user demand, low revenue impact) or feature B (medium deman"
agents,business-marketing,product-strategist,business-marketing/product-strategist.md,"Product strategy and roadmap planning specialist. Use PROACTIVELY for product positioning, market analysis, feature prioritization, go-to-market strategy, and competitive intelligence."
agents,business-marketing,project-manager,business-marketing/project-manager.md,"""Use this agent when you need to establish project plans, track execution progress, manage risks, control budget/schedule, and coordinate stakeholders across complex initiatives. Specifically:\\n\\n<example>\\nContext: A software team is starting a major product release with multiple dependencies an"
agents,business-marketing,risk-manager,business-marketing/risk-manager.md,"Risk management and portfolio analysis specialist. Use PROACTIVELY for portfolio risk assessment, position sizing, R-multiple analysis, hedging strategies, and risk-adjusted performance measurement."
agents,business-marketing,sales-automator,business-marketing/sales-automator.md,"Sales automation and outreach specialist. Use PROACTIVELY for cold email campaigns, follow-up sequences, proposal templates, case studies, sales scripts, and conversion optimization."
agents,business-marketing,sales-engineer,business-marketing/sales-engineer.md,"""Use this agent when you need to conduct technical pre-sales activities including solution architecture, proof-of-concept development, and technical demonstrations for complex sales deals. Specifically:\\n\\n<example>\\nContext: A prospect with complex technical requirements needs a custom solution "
agents,business-marketing,salesforce-expert,business-marketing/salesforce-expert.md,"Provide expert Salesforce Platform guidance, including Apex Enterprise Patterns, LWC, integration, and Aura-to-LWC migration."
agents,business-marketing,scrum-master,business-marketing/scrum-master.md,"""Use when teams need facilitation, process optimization, velocity improvement, or agile ceremony management—especially for sprint planning, retrospectives, impediment removal, and scaling agile practices across multiple teams. Specifically:\\n\\n<example>\\nContext: A team is struggling with sprint "
agents,business-marketing,seo-specialist,business-marketing/seo-specialist.md,"""Use this agent PROACTIVELY when you need comprehensive SEO optimization — technical audits, keyword strategy, content optimization, structured data, or search ranking recovery. Specifically:\\n\\n<example>\\nContext: An e-commerce company is experiencing declining organic traffic and needs a system"
agents,business-marketing,trend-analyst,business-marketing/trend-analyst.md,"""Use when analyzing emerging patterns, predicting industry shifts, or developing future scenarios to inform strategic planning and competitive positioning. Specifically:\\n\\n<example>\\nContext: A software company wants to understand how their market will evolve over the next 3-5 years to guide pro"
agents,business-marketing,ux-researcher,business-marketing/ux-researcher.md,"""Use this agent when you need to conduct user research, analyze user behavior, or generate actionable insights to validate design decisions and uncover user needs. Invoke when you need usability testing, user interviews, survey design, analytics interpretation, persona development, or competitive re"
agents,data-ai,adr-generator,data-ai/adr-generator.md,Expert agent for creating comprehensive Architectural Decision Records (ADRs) with structured formatting optimized for AI consumption and human readability.
agents,data-ai,ai-engineer,data-ai/ai-engineer.md,"""Use this agent when architecting, implementing, or optimizing end-to-end AI systems—from model selection and training pipelines to production deployment and monitoring. Specifically:\\n\\n<example>\\nContext: A user is building a recommendation system and needs guidance on model architecture, train"
agents,data-ai,amplitude-experiment-implementation,data-ai/amplitude-experiment-implementation.md,"This custom agent uses Amplitude's MCP tools to deploy new experiments inside of Amplitude, enabling seamless variant testing capabilities and rollout of product features."
agents,data-ai,blueprint-mode-codex,data-ai/blueprint-mode-codex.md,"Executes structured workflows with strict correctness and maintainability. Enforces a minimal tool usage policy, never assumes facts, prioritizes reproducible solutions, self-correction, and edge-case handling."
agents,data-ai,blueprint-mode,data-ai/blueprint-mode.md,"Executes structured workflows (Debug, Express, Main, Loop) with strict correctness and maintainability. Enforces an improved tool usage policy, never assumes facts, prioritizes reproducible solutions, self-correction, and edge-case handling."
agents,data-ai,clojure-interactive-programming,data-ai/clojure-interactive-programming.md,"Expert Clojure pair programmer with REPL-first methodology, architectural oversight, and interactive problem-solving. Enforces quality standards, prevents workarounds, and develops solutions incrementally through live REPL evaluation before file modifications."
agents,data-ai,code-tour,data-ai/code-tour.md,Expert agent for creating and maintaining VSCode CodeTour files with comprehensive schema support and best practices
agents,data-ai,computer-vision-engineer,data-ai/computer-vision-engineer.md,"Computer vision and image processing specialist. Use PROACTIVELY for image analysis, object detection, face recognition, OCR implementation, and visual AI applications."
agents,data-ai,data-analyst,data-ai/data-analyst.md,"""Use when you need to extract insights from business data, create dashboards and reports, or perform statistical analysis to support decision-making. Specifically:\\n\\n<example>\\nContext: You have customer transaction data and need to understand which product segments drive the most revenue and pr"
agents,data-ai,data-engineer,data-ai/data-engineer.md,"""Use PROACTIVELY when you need to design, build, or optimize data pipelines, dbt transformation models, ETL/ELT processes, and data infrastructure spanning Kafka, BigQuery, Databricks, Snowflake, and Iceberg lakehouses. Invoke when designing data platforms, implementing pipeline orchestration, handl"
agents,data-ai,data-scientist,data-ai/data-scientist.md,"""Use this agent when you need to analyze data patterns, build predictive models, or extract statistical insights from datasets. Invoke this agent for exploratory analysis, hypothesis testing, machine learning model development, and translating findings into business recommendations. Specifically:\\n"
agents,data-ai,demonstrate-understanding,data-ai/demonstrate-understanding.md,"Validate user understanding of code, design patterns, and implementation details through guided questioning."
agents,data-ai,dotnet-maui,data-ai/dotnet-maui.md,"Support development of .NET MAUI cross-platform apps with controls, XAML, handlers, and performance best practices."
agents,data-ai,hlbpa,data-ai/hlbpa.md,Your perfect AI chat mode for high-level architectural documentation and review. Perfect for targeted updates after a story or researching that legacy system when nobody remembers what it's supposed to be doing.
agents,data-ai,machine-learning-engineer,data-ai/machine-learning-engineer.md,"""Use this agent when you need to deploy, optimize, or serve machine learning models at scale in production environments. Specifically:\\n\\n<example>\\nContext: User has a trained ML model and needs to deploy it to handle real-time inference requests with minimal latency.\\nuser: \""I have a PyTorch "
agents,data-ai,microsoft-agent-framework-dotnet,data-ai/microsoft-agent-framework-dotnet.md,"Create, update, refactor, explain or work with code using the .NET version of Microsoft Agent Framework."
agents,data-ai,ml-engineer,data-ai/ml-engineer.md,"""Use this agent when building production ML systems requiring model training pipelines, model serving infrastructure, performance optimization, and automated retraining. Specifically:\\n\\n<example>\\nContext: A team needs to implement a complete ML system that trains a recommendation model, serves "
agents,data-ai,mlops-engineer,data-ai/mlops-engineer.md,"""Use this agent when you need to design and implement ML infrastructure, set up CI/CD for machine learning models, establish model versioning systems, or optimize ML platforms for reliability and automation. Invoke this agent to build production-grade experiment tracking, implement automated trainin"
agents,data-ai,monday-bug-fixer,data-ai/monday-bug-fixer.md,"Elite bug-fixing agent that enriches task context from Monday.com platform data. Gathers related items, docs, comments, epics, and requirements to deliver production-quality fixes with comprehensive PRs."
agents,data-ai,ms-sql-dba,data-ai/ms-sql-dba.md,Work with Microsoft SQL Server databases using the MS SQL extension.
agents,data-ai,neon-migration-specialist,data-ai/neon-migration-specialist.md,"Safe Postgres migrations with zero-downtime using Neon's branching workflow. Test schema changes in isolated database branches, validate thoroughly, then apply to production—all automated with support for Prisma, Drizzle, or your favorite ORM."
agents,data-ai,neon-optimization-analyzer,data-ai/neon-optimization-analyzer.md,"Identify and fix slow Postgres queries automatically using Neon's branching workflow. Analyzes execution plans, tests optimizations in isolated database branches, and provides clear before/after performance metrics with actionable code fixes."
agents,data-ai,nlp-engineer,data-ai/nlp-engineer.md,"""Use when building production NLP systems, implementing text processing pipelines, developing language models, or solving domain-specific NLP tasks like named entity recognition, sentiment analysis, or machine translation. Specifically:\\n\\n<example>\\nContext: E-commerce platform needs to automati"
agents,data-ai,postgresql-dba,data-ai/postgresql-dba.md,Work with PostgreSQL databases using the PostgreSQL extension.
agents,data-ai,power-bi-data-modeling-expert,data-ai/power-bi-data-modeling-expert.md,"Expert Power BI data modeling guidance using star schema principles, relationship design, and Microsoft best practices for optimal model performance and usability."
agents,data-ai,power-bi-dax-expert,data-ai/power-bi-dax-expert.md,"Expert Power BI DAX guidance using Microsoft best practices for performance, readability, and maintainability of DAX formulas and calculations."
agents,data-ai,power-platform-expert,data-ai/power-platform-expert.md,"Power Platform expert providing guidance on Code Apps, canvas apps, Dataverse, connectors, and Power Platform best practices"
agents,data-ai,prd,data-ai/prd.md,"Generate a comprehensive Product Requirements Document (PRD) in Markdown, detailing user stories, acceptance criteria, technical considerations, and metrics. Optionally create GitHub issues upon user confirmation."
agents,data-ai,prompt-builder,data-ai/prompt-builder.md,Expert prompt engineering and validation system for creating high-quality prompts - Brought to you by microsoft/edge-ai
agents,data-ai,prompt-engineer,data-ai/prompt-engineer.md,"A specialized chat mode for analyzing and improving prompts. Every user input is treated as a prompt to be improved. It evaluates the prompt against a systematic framework of prompt engineering best practices, then generates a new improved prompt. Use this agent when you need to turn vague or incomp"
agents,data-ai,quant-analyst,data-ai/quant-analyst.md,"Quantitative finance and algorithmic trading specialist. Use PROACTIVELY for financial modeling, trading strategy development, backtesting, risk analysis, and portfolio optimization."
agents,data-ai,se-product-manager-advisor,data-ai/se-product-manager-advisor.md,"Product management guidance for creating GitHub issues, aligning business value with user needs, and making data-driven product decisions"
agents,data-ai,se-system-architecture-reviewer,data-ai/se-system-architecture-reviewer.md,"System architecture review specialist with Well-Architected frameworks, design validation, and scalability analysis for AI and distributed systems"
agents,data-ai,semantic-kernel-dotnet,data-ai/semantic-kernel-dotnet.md,"Create, update, refactor, explain or work with code using the .NET version of Semantic Kernel."
agents,data-ai,simple-app-idea-generator,data-ai/simple-app-idea-generator.md,"Brainstorm and develop new application ideas through fun, interactive questioning until ready for specification creation."
agents,data-ai,software-engineer-agent-v1,data-ai/software-engineer-agent-v1.md,"Expert-level software engineering agent. Deliver production-ready, maintainable code. Execute systematically and specification-driven. Document comprehensively. Operate autonomously and adaptively."
agents,data-ai,task-planner,data-ai/task-planner.md,Task planner for creating actionable implementation plans - Brought to you by microsoft/edge-ai
agents,data-ai,task-researcher,data-ai/task-researcher.md,Task research specialist for comprehensive project analysis - Brought to you by microsoft/edge-ai
agents,data-ai,tdd-green,data-ai/tdd-green.md,Implement minimal code to satisfy GitHub issue requirements and make failing tests pass without over-engineering.
agents,data-ai,tdd-red,data-ai/tdd-red.md,Guide test-first development by writing failing tests that describe desired behaviour from GitHub issue context before implementation exists.
agents,database,database-admin,database/database-admin.md,"Database administration specialist for operations, backups, replication, and monitoring. Use PROACTIVELY for database setup, operational issues, user management, or disaster recovery procedures."
agents,database,database-administrator,database/database-administrator.md,"""Use this agent when optimizing database performance, implementing high-availability architectures, setting up disaster recovery, or managing database infrastructure for production systems. Specifically:\\n\\n<example>\\nContext: A company's PostgreSQL database is experiencing slow query performance"
agents,database,database-architect,database/database-architect.md,"""Database architecture and design specialist. Use PROACTIVELY for database design decisions, data modeling, scalability planning, microservices data patterns, and database technology selection. This agent designs and plans; hand off PostgreSQL tuning to postgres-pro and Neon-specific work to neon-da"
agents,database,database-optimization,database/database-optimization.md,"Database performance optimization and query tuning specialist. Use PROACTIVELY for slow queries, indexing strategies, execution plan analysis, and database performance bottlenecks."
agents,database,database-optimizer,database/database-optimizer.md,"""Use this agent when you need to analyze slow queries, optimize database performance across multiple systems, or implement indexing strategies to improve query execution. Specifically:\\n\\n<example>\\nContext: A web application is experiencing slow queries on its main user profile lookup, taking 1."
agents,database,neon-auth-specialist,database/neon-auth-specialist.md,"Neon Auth implementation specialist. Use PROACTIVELY for Stack Auth integration, user management setup, authentication flows, and security best practices with Neon database."
agents,database,neon-database-architect,database/neon-database-architect.md,"Neon database architecture specialist. Use PROACTIVELY for database schema design, Drizzle ORM integration, query optimization, and serverless performance tuning. Expert in connection management and database migrations."
agents,database,neon-expert,database/neon-expert.md,"General Neon Serverless Postgres consultant. Use PROACTIVELY for initial Neon setup, general database questions, and coordinating with specialized agents (neon-database-architect for schemas/ORM, neon-auth-specialist for authentication)."
agents,database,nosql-specialist,database/nosql-specialist.md,"NoSQL database specialist for MongoDB, Redis, Cassandra, and document/key-value stores. Use PROACTIVELY for schema design, data modeling, performance optimization, and NoSQL architecture decisions."
agents,database,postgres-pro,database/postgres-pro.md,"""Use when you need to optimize PostgreSQL performance, design high-availability replication, or troubleshoot database issues at scale. Invoke this agent for query optimization, configuration tuning, replication setup, backup strategies, and mastering advanced PostgreSQL features for enterprise deplo"
agents,database,supabase-schema-architect,database/supabase-schema-architect.md,"Supabase database schema design specialist. Use PROACTIVELY for database schema design, migration planning, and RLS policy architecture."
agents,deep-research-team,academic-researcher,deep-research-team/academic-researcher.md,"Academic research specialist for scholarly sources, peer-reviewed papers, and academic literature. Use PROACTIVELY for research paper analysis, literature reviews, citation tracking, and academic methodology evaluation."
agents,deep-research-team,agent-overview,deep-research-team/agent-overview.md,
agents,deep-research-team,competitive-intelligence-analyst,deep-research-team/competitive-intelligence-analyst.md,"Competitive intelligence and market research specialist. Use PROACTIVELY for competitor analysis, market positioning research, industry trend analysis, business intelligence gathering, and strategic market insights."
agents,deep-research-team,data-analyst,deep-research-team/data-analyst.md,"Use this agent when you need quantitative analysis, statistical insights, or data-driven research. This includes analyzing numerical data, identifying trends, creating comparisons, evaluating metrics, and suggesting data visualizations. The agent excels at finding and interpreting data from statisti"
agents,deep-research-team,data-researcher,deep-research-team/data-researcher.md,"""Use this agent when you need to discover, collect, and validate data from multiple sources to fuel analysis and decision-making. Invoke this agent for identifying data sources, gathering raw datasets, performing quality checks, and preparing data for downstream analysis or modeling. Specifically:\\"
agents,deep-research-team,fact-checker,deep-research-team/fact-checker.md,"Fact verification and source validation specialist. Use PROACTIVELY for claim verification, source credibility assessment, misinformation detection, citation validation, and information accuracy analysis."
agents,deep-research-team,nia-oracle,deep-research-team/nia-oracle.md,"Expert research agent specialized in leveraging Nia's knowledge tools. Use PROACTIVELY for discovering repos/docs, deep technical research, remote codebases exploration, documentation queries, and cross-agent knowledge handoffs. Automatically indexes and searches discovered resources."
agents,deep-research-team,query-clarifier,deep-research-team/query-clarifier.md,Use this agent when you need to analyze research queries for clarity and determine if user clarification is needed before proceeding with research. This agent should be invoked at the beginning of research workflows to ensure queries are specific and actionable. Examples: <example>Context: The user 
agents,deep-research-team,report-generator,deep-research-team/report-generator.md,"Use this agent when you need to transform synthesized research findings into a comprehensive, well-structured final report. This agent excels at creating readable narratives from complex research data, organizing content logically, and ensuring proper citation formatting. It should be used after res"
agents,deep-research-team,research-analyst,deep-research-team/research-analyst.md,"""Use this agent when you need comprehensive research across multiple sources with synthesis of findings into actionable insights, trend identification, and detailed reporting. Specifically:\\n\\n<example>\\nContext: A company is planning to enter a new technology market and needs deep research on ma"
agents,deep-research-team,research-brief-generator,deep-research-team/research-brief-generator.md,"Use this agent when you need to transform a user's research query into a structured, actionable research brief that will guide subsequent research activities. This agent takes clarified queries and converts them into comprehensive research plans with specific questions, keywords, source preferences,"
agents,deep-research-team,research-coordinator,deep-research-team/research-coordinator.md,"Use this agent when you need to strategically plan and coordinate complex research tasks across multiple specialist researchers. This agent analyzes research requirements, allocates tasks to appropriate specialists, and defines iteration strategies for comprehensive coverage. <example>Context: The u"
agents,deep-research-team,research-orchestrator,deep-research-team/research-orchestrator.md,Use this agent when you need to coordinate a comprehensive research project that requires multiple specialized agents working in sequence. This agent manages the entire research workflow from initial query clarification through final report generation. <example>Context: User wants to conduct thoroug
agents,deep-research-team,research-synthesizer,deep-research-team/research-synthesizer.md,"Use this agent when you need to consolidate and synthesize findings from multiple research sources or specialist researchers into a unified, comprehensive analysis. This agent excels at merging diverse perspectives, identifying patterns across sources, highlighting contradictions, and creating struc"
agents,deep-research-team,search-specialist,deep-research-team/search-specialist.md,"""Use when you need to find specific information across multiple sources using advanced search strategies, query optimization, and targeted information retrieval. Invoke this agent when the priority is locating precise, relevant results efficiently rather than analyzing or synthesizing content. Speci"
agents,deep-research-team,technical-researcher,deep-research-team/technical-researcher.md,"Use this agent when you need to analyze code repositories, technical documentation, implementation details, or evaluate technical solutions. This includes researching GitHub projects, reviewing API documentation, finding code examples, assessing code quality, tracking version histories, or comparing"
agents,development-team,backend-architect,development-team/backend-architect.md,"""Backend system architecture and API design specialist. Use PROACTIVELY for greenfield service design, monolith decomposition, API paradigm selection (REST/gRPC/GraphQL), microservice boundaries, database schemas, scalability planning, event-driven architecture, and observability design. This agent "
agents,development-team,backend-developer,development-team/backend-developer.md,"""Use this agent when building server-side APIs, microservices, and backend systems that require robust architecture, scalability planning, and production-ready implementation. Specifically:\\n\\n<example>\\nContext: A project needs a new RESTful API service with database persistence, authentication,"
agents,development-team,cli-ui-designer,development-team/cli-ui-designer.md,"CLI interface design specialist. Use PROACTIVELY to create terminal-inspired user interfaces with modern web technologies. Expert in CLI aesthetics, terminal themes, and command-line UX patterns."
agents,development-team,code-architect,development-team/code-architect.md,"Designs feature architectures by analyzing existing codebase patterns and conventions, then providing comprehensive implementation blueprints with specific files to create/modify, component designs, data flows, and build sequences"
agents,development-team,code-explorer,development-team/code-explorer.md,"Deeply analyzes existing codebase features by tracing execution paths, mapping architecture layers, understanding patterns and abstractions, and documenting dependencies to inform new development"
agents,development-team,devops-engineer,development-team/devops-engineer.md,"DevOps and infrastructure specialist for CI/CD, deployment automation, and cloud operations. Use PROACTIVELY for pipeline setup, infrastructure provisioning, monitoring, security implementation, and deployment optimization."
agents,development-team,electron-pro,development-team/electron-pro.md,"""Use this agent when building Electron desktop applications that require native OS integration, cross-platform distribution, security hardening, and performance optimization. Use electron-pro for complete desktop app development from architecture to signed, distributable installers. Specifically:\\n"
agents,development-team,frontend-developer,development-team/frontend-developer.md,"""Use when building complete frontend applications across React, Vue, and Angular frameworks requiring multi-framework expertise and full-stack integration. Specifically:\n\n<example>\nContext: Starting a new React frontend for an e-commerce platform with complex state management and real-time update"
agents,development-team,fullstack-developer,development-team/fullstack-developer.md,"""Use this agent when you need to build complete features spanning database, API, and frontend layers together as a cohesive unit. Specifically:\\n\\n<example>\\nContext: User wants to build a new user authentication system for a web application that requires database schema, API endpoints, and front"
agents,development-team,ios-developer,development-team/ios-developer.md,"Native iOS development specialist with Swift and SwiftUI. Use PROACTIVELY for iOS applications, UIKit/SwiftUI components, Core Data integration, app lifecycle management, and App Store optimization."
agents,development-team,mobile-app-developer,development-team/mobile-app-developer.md,"""Use this agent when developing iOS and Android mobile applications with focus on native or cross-platform implementation, performance optimization, and platform-specific user experience. This agent covers both platforms (native iOS + native Android, or cross-platform frameworks spanning both); for "
agents,development-team,mobile-developer,development-team/mobile-developer.md,"""Use this agent when building cross-platform mobile applications requiring native performance optimization, platform-specific features, and offline-first architecture. Use for React Native and Flutter projects where code sharing must exceed 80% while maintaining iOS and Android native excellence. Sp"
agents,development-team,sdd-spec-writer,development-team/sdd-spec-writer.md,
agents,development-team,test-generator,development-team/test-generator.md,"Analyzes code changes and generates comprehensive test cases by understanding existing test patterns, edge cases, and testing conventions in the codebase"
agents,development-team,test-runner,development-team/test-runner.md,"Executes tests, analyzes results, identifies failures, diagnoses root causes, and provides actionable fixes for failing tests"
agents,development-team,ui-designer,development-team/ui-designer.md,"""Use this agent when designing visual interfaces, creating design systems, building component libraries, or refining user-facing aesthetics requiring expert visual design, interaction patterns, and accessibility considerations. Specifically:\n\n<example>\nContext: Product team needs a complete desig"
agents,development-team,ui-ux-designer,development-team/ui-ux-designer.md,"Use proactively when reviewing UI/UX design, evaluating visual interfaces, auditing web components for usability issues, checking accessibility compliance, or critiquing design aesthetics. Invoke when the user shares screenshots, mockup files, CSS, HTML, design tokens, or asks for feedback on visual"
agents,development-tools,accessibility-tester,development-tools/accessibility-tester.md,"""Use this agent when you need comprehensive accessibility testing, WCAG compliance verification, or assessment of assistive technology support. Specifically:\\n\\n<example>\\nContext: A web application is preparing for launch and needs to ensure compliance with accessibility standards before release"
agents,development-tools,architect-reviewer,development-tools/architect-reviewer.md,"""Use this agent when you need to evaluate system design decisions, architectural patterns, and technology choices at the macro level. Specifically:\\n\\n<example>\\nContext: Team has proposed a microservices migration strategy but is uncertain about service boundaries and data ownership model.\\nuse"
agents,development-tools,ascii-ui-mockup-generator,development-tools/ascii-ui-mockup-generator.md,"Specialist in creating ASCII mockups for UI concepts, generating multiple visualization options for layouts, forms, dashboards, and interfaces before implementation"
agents,development-tools,build-engineer,development-tools/build-engineer.md,"""Use this agent when you need to optimize build performance, reduce compilation times, or scale build systems across growing teams. Specifically:\\n\\n<example>\\nContext: A development team's build times have degraded from 30 seconds to 2+ minutes, blocking developer productivity.\\nuser: \""Our bui"
